Tweet	Label
<USER> <USER> وجع لا تضحك اياني واياك تخسرها اطعنك ترى 🔪	dangerous
<USER> خجلت تره اني اريد اذبحك وانت هيج تجاوب	safe
<USER> <USER> <USER> لا وحاط صوره الشاعر استح على وجهك تشك بنوايا الناس قم انقلع برا لا اشوفك بتويتر لا افقع وجهك	dangerous
<USER> <USER> صح انت مش محتاج سكينه انت يا دوب اضربك بالنبله حتموت 😁😁😎	safe
<USER> كلب حيوان زفت خرا اضربك؟؟؟؟؟؟	dangerous
<USER> عشان تسذا الي اضربك 🌚💔💔	dangerous
<USER> اقول روحي ذاكري لا اذبحك	safe
<USER> <USER> هههههههههههههههههههههههههه ماقتلك من زمان خليك بناديك وبمشاكله ماسمعت هيا زيد الضغط لنفسك فتاح عواجي	safe
<USER> قووولللييييييي مشاء الله لاذبحك	safe
<USER> اكلك صدك اذا اضربك بلوك تروح كل التويتات لو لازم اكعد امسح /	safe
<USER> ان شاء هنفوز وساعتها هنضربكم بالجزم ياشوية مخانيث الي ركبكم الاخوان في التحرير	dangerous
اعتذار واجب <USER> انتي عارفة اني عمري ما هاخونك ولا اطعنك في ضهرك انتي اختي حبيبتي يتبع	safe
<USER> سعود خلفنا معاك سياسي ولا نطعنك فى ظهرك من الخلف نحن رجال نواجه ليس نفسهم خونه تطعن الصديق وتضحك اذا شافوووه	safe
<USER> <USER> <USER> <USER> اباءالنتير ابا الصلب شكلك تعديت حدودك تجيب طاري اسم شمر علي لسانك قسم بالله نحرقك وانت حي وايكثر	dangerous
<USER> <USER> و قولي انه تسجيل كمان عشان اقتلك👽	dangerous
<USER> اخاف اذبحك انت وياه 🔫 🔫 . 🔪🔪🔪	dangerous
<USER> بس الاختبارات ما يبي لها نوم ^اقتلك نكد 🙂🖤🖤.	safe
<USER> بس خلي اشوفك تنزلي منشورات غزل وحب عشان اطعنك هههههههههههه	safe
<USER> يعني لو تعطيني 16 مليون لو اذبحك الله واكبر عليكم	safe
<USER> <USER> راح اذبحكم يا لخونه خصوصا انت علاوي🔪🔪💣	dangerous
<USER> ميت انت من عمك سعود ماذبحك ولا مسح بك البلاط الا سعود يادليم	safe
<USER> يبقي نخطفك و نهددك لو كلتيه هنقتلك 😂😂😂😂	safe
<USER> اقتلك بمسدس المويه حقي؟؟	safe
<USER> اذا اعديتيني هالمره صدق صدق باقتلك وستحل عليك دعواتي وشتائم ولعنات من الله	dangerous
<USER> لااحد يحبك غيري ترا اذبحك 😒🔪🔪	dangerous
<USER> اذبحك احسن 😒😒 اللي زيك مش لازم يعيش😂	safe
<USER> هههههههه ولازم نقوله اذا ما فهمت راح نضربك، تالي نكلمه بالعربي عشان ما يفهم لان انا ودي اضربه	safe
<USER> ليش اجي اقتلك و انت اجلك قريب مع الكبر	safe
<USER> <USER> 🎾 🎾 🎾 هردها فيك وافجرك	safe
<USER> اضربك فين مفيش ف وشك مكاااان	safe
<USER> م يحتاج تنتحر انا اذبحك	safe
<USER> <USER> ودي اذبحكم باحساسكم ذا صومو	safe
<USER> مكياچ لا بناطيل لا تعليم لا شغل لا خروج لا سفر لا طب ايه رأيك جوازة مليون لا و قوم بدل ما اضربك 😂😂😂😂😂😂✋💔	safe
<USER> الستي تحبين تاي ابتعدي عن الاوبا لا اضربكي	safe
<USER> <USER> ماش ماقدرنا الى نغتصبكم انتم	safe
<USER> <USER> راهو قالك خونا بعيد الشر عليك كيفاش نقتلك محااال	safe
<USER> قصدي اقتلك من الدغدغه والضحك	safe
<USER> اقسم بالله خزي وعار اهس بالعار انحرك دمنه	dangerous
<USER> ماقتلك تصلحش بيا خويطك واجد	safe
<USER> هي ولاك اطلع من حارتنا احسن ما اطعنك بالشبريه ها	dangerous
<USER> <USER> ورع لاتنفخ ترا بجي اضربك	dangerous
